countries,SUMME (21 countries >29),,,,,,,,,,,,,,,,,,,,
1500,4,,,,,,,,,,,,,,,,,,,,
1517,5,,,,,,,,,,,,,,,,,,,,
1549,6,,,,,,,,,,,,,,,,,,,,
1550,10,,,,,,,,,,,,,,,,,,,,
1570,11,,,,,,,,,,,,,,,,,,,,
1580,12,,,,,,,,,,,,,,,,,,,,
1588,13,,,,,,,,,,,,,,,,,,,,
1600,18,,,,,,,,,,,,,,,,,,,,
1625,19,,,,,,,,,,,,,,,,,,,,
1649,20,,,,,,,,,,,,,,,,,,,,
1650,24,,,,,,,,,,,,,,,,,,,,
1657,25,,,,,,,,,,,,,,,,,,,,
1660,26,,,,,,,,,,,,,,,,,,,,
1680,28,,,,,,,,,,,,,,,,,,,,
1685,29,,,,,,,,,,,,,,,,,,,,
1690,30,,,,,,,,,,,,,,,,,,,,
1700,40,,,,,,,,,,,,,,,,,,,,
1705,41,,,,,,,,,,,,,,,,,,,,
1710,42,,,,,,,,,,,,,,,,,,,,
1725,44,,,,,,,,,,,,,,,,,,,,
1730,46,,,,,,,,,,,,,,,,,,,,
1732,47,,,,,,,,,,,,,,,,,,,,
1735,48,,,,,,,,,,,,,,,,,,,,
1750,60,,,,,,,,,,,,,,,,,,,,
1762,61,,,,,,,,,,,,,,,,,,,,
1765,63,,,,,,,,,,,,,,,,,,,,
1767,66,,,,,,,,,,,,,,,,,,,,
1768,68,,,,,,,,,,,,,,,,,,,,
1770,69,,,,,,,,,,,,,,,,,,,,
1774,71,,,,,,,,,,,,,,,,,,,,
1778,72,,,,,,,,,,,,,,,,,,,,
1780,73,,,,,,,,,,,,,,,,,,,,
1783,74,,,,,,,,,,,,,,,,,,,,
1784,75,,,,,,,,,,,,,,,,,,,,
1785,77,,,,,,,,,,,,,,,,,,,,
1786,78,,,,,,,,,,,,,,,,,,,,
1788,79,,,,,,,,,,,,,,,,,,,,
1789,80,,,,,,,,,,,,,,,,,,,,
1790,81,,,,,,,,,,,,,,,,,,,,
1792,82,,,,,,,,,,,,,,,,,,,,
1794,83,,,,,,,,,,,,,,,,,,,,
1795,93,,,,,,,,,,,,,,,,,,,,
1799,94,,,,,,,,,,,,,,,,,,,,
1800,105,,,,,,,,,,,,,,,,,,,,
1803,108,,,,,,,,,,,,,,,,,,,,
1805,109,,,,,,,,,,,,,,,,,,,,
1806,111,,,,,,,,,,,,,,,,,,,,
1809,129,,,,,,,,,,,,,,,,,,,,
1810,130,,,,,,,,,,,,,,,,,,,,
1811,132,,,,,,,,,,,,,,,,,,,,
1813,134,,,,,,,,,,,,,,,,,,,,
1814,136,,,,,,,,,,,,,,,,,,,,
1815,138,,,,,,,,,,,,,,,,,,,,
1817,140,,,,,,,,,,,,,,,,,,,,
1818,152,,,,,,,,,,,,,,,,,,,,
1819,179,,,,,,,,,,,,,,,,,,,,
1820,183,,,,,,,,,,,,,,,,,,,,
1822,184,,,,,,,,,,,,,,,,,,,,
1823,189,,,,,,,,,,,,,,,,,,,,
1824,190,,,,,,,,,,,,,,,,,,,,
1825,226,,,,,,,,,,,,,,,,,,,,
1826,238,,,,,,,,,,,,,,,,,,,,
1827,244,,,,,,,,,,,,,,,,,,,,
1828,246,,,,,,,,,,,,,,,,,,,,
1829,249,,,,,,,,,,,,,,,,,,,,
1830,255,,,,,,,,,,,,,,,,,,,,
1831,256,,,,,,,,,,,,,,,,,,,,
1832,259,,,,,,,,,,,,,,,,,,,,
1833,261,,,,,,,,,,,,,,,,,,,,
1834,267,,,,,,,,,,,,,,,,,,,,
1835,310,,,,,,,,,,,,,,,,,,,,
1836,311,,,,,,,,,,,,,,,,,,,,
1837,314,,,,,,,,,,,,,,,,,,,,
1838,319,,,,,,,,,,,,,,,,,,,,
1839,321,,,,,,,,,,,,,,,,,,,,
1840,338,,,,,,,,,,,,,,,,,,,,
1841,341,,,,,,,,,,,,,,,,,,,,
1842,345,,,,,,,,,,,,,,,,,,,,
1843,348,,,,,,,,,,,,,,,,,,,,
1844,351,,,,,,,,,,,,,,,,,,,,
1845,367,,,,,,,,,,,,,,,,,,,,
1846,394,,,,,,,,,,,,,,,,,,,,
1847,414,,,,,,,,,,,,,,,,,,,,
1848,436,,,,,,,,,,,,,,,,,,,,
1849,447,,,,,,,,,,,,,,,,,,,,
1850,496,,,,,,,,,,,,,,,,,,,,
1851,509,,,,,,,,,,,,,,,,,,,,
1852,516,,,,,,,,,,,,,,,,,,,,
1853,531,,,,,,,,,,,,,,,,,,,,
1854,549,,,,,,,,,,,,,,,,,,,,
1855,557,,,,,,,,,,,,,,,,,,,,
1856,566,,,,,,,,,,,,,,,,,,,,
1857,576,,,,,,,,,,,,,,,,,,,,
1858,578,,,,,,,,,,,,,,,,,,,,
1859,580,,,,,,,,,,,,,,,,,,,,
1860,594,,,,,,,,,,,,,,,,,,,,
1861,609,,,,,,,,,,,,,,,,,,,,
1862,627,,,,,,,,,,,,,,,,,,,,
1863,639,,,,,,,,,,,,,,,,,,,,
1864,645,,,,,,,,,,,,,,,,,,,,
1865,667,,,,,,,,,,,,,,,,,,,,
1866,683,,,,,,,,,,,,,,,,,,,,
1867,703,,,,,,,,,,,,,,,,,,,,
1868,721,,,,,,,,,,,,,,,,,,,,
1869,732,,,,,,,,,,,,,,,,,,,,
1870,768,,,,,,,,,,,,,,,,,,,,
1871,779,,,,,,,,,,,,,,,,,,,,
1872,820,,,,,,,,,,,,,,,,,,,,
1873,845,,,,,,,,,,,,,,,,,,,,
1874,878,,,,,,,,,,,,,,,,,,,,
1875,936,,,,,,,,,,,,,,,,,,,,
1876,953,,,,,,,,,,,,,,,,,,,,
1877,964,,,,,,,,,,,,,,,,,,,,
1878,980,,,,,,,,,,,,,,,,,,,,
1879,1000,,,,,,,,,,,,,,,,,,,,
1880,1037,,,,,,,,,,,,,,,,,,,,
1881,1072,,,,,,,,,,,,,,,,,,,,
1882,1112,,,,,,,,,,,,,,,,,,,,
1883,1139,,,,,,,,,,,,,,,,,,,,
1884,1174,,,,,,,,,,,,,,,,,,,,
1885,1195,,,,,,,,,,,,,,,,,,,,
1886,1209,,,,,,,,,,,,,,,,,,,,
1887,1217,,,,,,,,,,,,,,,,,,,,
1888,1239,,,,,,,,,,,,,,,,,,,,
1889,1257,,,,,,,,,,,,,,,,,,,,
1890,1291,,,,,,,,,,,,,,,,,,,,
1891,1315,,,,,,,,,,,,,,,,,,,,
1892,1340,,,,,,,,,,,,,,,,,,,,
1893,1357,,,,,,,,,,,,,,,,,,,,
1894,1366,,,,,,,,,,,,,,,,,,,,
1895,1389,,,,,,,,,,,,,,,,,,,,
1896,1412,,,,,,,,,,,,,,,,,,,,
1897,1446,,,,,,,,,,,,,,,,,,,,
1898,1460,,,,,,,,,,,,,,,,,,,,
1899,1472,,,,,,,,,,,,,,,,,,,,
1900,1518,,,,,,,,,,,,,,,,,,,,
1901,1532,,,,,,,,,,,,,,,,,,,,
1902,1559,,,,,,,,,,,,,,,,,,,,
1903,1575,,,,,,,,,,,,,,,,,,,,
1904,1597,,,,,,,,,,,,,,,,,,,,
1905,1628,,,,,,,,,,,,,,,,,,,,
1906,1646,,,,,,,,,,,,,,,,,,,,
1907,1660,,,,,,,,,,,,,,,,,,,,
1908,1678,,,,,,,,,,,,,,,,,,,,
1909,1692,,,,,,,,,,,,,,,,,,,,
1910,1717,,,,,,,,,,,,,,,,,,,,
1911,1733,,,,,,,,,,,,,,,,,,,,
1912,1755,,,,,,,,,,,,,,,,,,,,
1913,1769,,,,,,,,,,,,,,,,,,,,
1914,1788,,,,,,,,,,,,,,,,,,,,
1915,1809,,,,,,,,,,,,,,,,,,,,
1916,1826,,,,,,,,,,,,,,,,,,,,
1917,1846,,,,,,,,,,,,,,,,,,,,
1918,1860,,,,,,,,,,,,,,,,,,,,
1919,1871,,,,,,,,,,,,,,,,,,,,
1920,1903,,,,,,,,,,,,,,,,,,,,
1921,1913,,,,,,,,,,,,,,,,,,,,
1922,1925,,,,,,,,,,,,,,,,,,,,
1923,1938,,,,,,,,,,,,,,,,,,,,
1924,1976,,,,,,,,,,,,,,,,,,,,
1925,2056,,,,,,,,,,,,,,,,,,,,
1926,2075,,,,,,,,,,,,,,,,,,,,
1927,2106,,,,,,,,,,,,,,,,,,,,
1928,2129,,,,,,,,,,,,,,,,,,,,
1929,2159,,,,,,,,,,,,,,,,,,,,
1930,2190,,,,,,,,,,,,,,,,,,,,
1931,2212,,,,,,,,,,,,,,,,,,,,
1932,2234,,,,,,,,,,,,,,,,,,,,
1933,2265,,,,,,,,,,,,,,,,,,,,
1934,2289,,,,,,,,,,,,,,,,,,,,
1935,2336,,,,,,,,,,,,,,,,,,,,
1936,2358,,,,,,,,,,,,,,,,,,,,
1937,2387,,,,,,,,,,,,,,,,,,,,
1938,2401,,,,,,,,,,,,,,,,,,,,
1939,2433,,,,,,,,,,,,,,,,,,,,
1940,2464,,,,,,,,,,,,,,,,,,,,
1941,2482,,,,,,,,,,,,,,,,,,,,
1942,2498,,,,,,,,,,,,,,,,,,,,
1943,2513,,,,,,,,,,,,,,,,,,,,
1944,2525,,,,,,,,,,,,,,,,,,,,
1945,2543,,,,,,,,,,,,,,,,,,,,
1946,2570,,,,,,,,,,,,,,,,,,,,
1947,2590,,,,,,,,,,,,,,,,,,,,
1948,2621,,,,,,,,,,,,,,,,,,,,
1949,2631,,,,,,,,,,,,,,,,,,,,
1950,2677,,,,,,,,,,,,,,,,,,,,
1951,2700,,,,,,,,,,,,,,,,,,,,
1952,2718,,,,,,,,,,,,,,,,,,,,
1953,2741,,,,,,,,,,,,,,,,,,,,
1954,2758,,,,,,,,,,,,,,,,,,,,
1955,2807,,,,,,,,,,,,,,,,,,,,
1956,2829,,,,,,,,,,,,,,,,,,,,
1957,2845,,,,,,,,,,,,,,,,,,,,
1958,2866,,,,,,,,,,,,,,,,,,,,
1959,2895,,,,,,,,,,,,,,,,,,,,
1960,2947,,,,,,,,,,,,,,,,,,,,
1961,2998,,,,,,,,,,,,,,,,,,,,
1962,3024,,,,,,,,,,,,,,,,,,,,
1963,3057,,,,,,,,,,,,,,,,,,,,
1964,3081,,,,,,,,,,,,,,,,,,,,
1965,3146,,,,,,,,,,,,,,,,,,,,
1966,3181,,,,,,,,,,,,,,,,,,,,
1967,3221,,,,,,,,,,,,,,,,,,,,
1968,3246,,,,,,,,,,,,,,,,,,,,
1969,3271,,,,,,,,,,,,,,,,,,,,
1970,3312,,,,,,,,,,,,,,,,,,,,
1971,3358,,,,,,,,,,,,,,,,,,,,
1972,3388,,,,,,,,,,,,,,,,,,,,
1973,3410,,,,,,,,,,,,,,,,,,,,
1974,3439,,,,,,,,,,,,,,,,,,,,
1975,3504,,,,,,,,,,,,,,,,,,,,
1976,3530,,,,,,,,,,,,,,,,,,,,
1977,3549,,,,,,,,,,,,,,,,,,,,
1978,3576,,,,,,,,,,,,,,,,,,,,
1979,3599,,,,,,,,,,,,,,,,,,,,
1980,3639,,,,,,,,,,,,,,,,,,,,
1981,3662,,,,,,,,,,,,,,,,,,,,
1982,3684,,,,,,,,,,,,,,,,,,,,
1983,3720,,,,,,,,,,,,,,,,,,,,
1984,3744,,,,,,,,,,,,,,,,,,,,
1985,3813,,,,,,,,,,,,,,,,,,,,
1986,3842,,,,,,,,,,,,,,,,,,,,
1987,3878,,,,,,,,,,,,,,,,,,,,
1988,3907,,,,,,,,,,,,,,,,,,,,
1989,3940,,,,,,,,,,,,,,,,,,,,
1990,3983,,,,,,,,,,,,,,,,,,,,
1991,4023,,,,,,,,,,,,,,,,,,,,
1992,4047,,,,,,,,,,,,,,,,,,,,
1993,4092,,,,,,,,,,,,,,,,,,,,
1994,4127,,,,,,,,,,,,,,,,,,,,
1995,4211,,,,,,,,,,,,,,,,,,,,
1996,4263,,,,,,,,,,,,,,,,,,,,
1997,4298,,,,,,,,,,,,,,,,,,,,
1998,4345,,,,,,,,,,,,,,,,,,,,
1999,4396,,,,,,,,,,,,,,,,,,,,
2000,4441,,,,,,,,,,,,,,,,,,,,
2001,4489,,,,,,,,,,,,,,,,,,,,
2002,4521,,,,,,,,,,,,,,,,,,,,
2003,4579,,,,,,,,,,,,,,,,,,,,
2004,4628,,,,,,,,,,,,,,,,,,,,
2005,4690,,,,,,,,,,,,,,,,,,,,
2006,4750,,,,,,,,,,,,,,,,,,,,
2007,4795,,,,,,,,,,,,,,,,,,,,
2008,4833,,,,,,,,,,,,,,,,,,,,
2009,4868,,,,,,,,,,,,,,,,,,,,
2010,4891,,,,,,,,,,,,,,,,,,,,
2011,4901,,,,,,,,,,,,,,,,,,,,
2012,4903,,,,,,,,,,,,,,,,,,,,
